Loading rom...Done
                   x |   x |   x, loadOut:x --- inputRow: xxxxxxxxxxxxxxxxxxxxxxxxxxxxxx ||x outputRow: xxxxxxxxxxxxxxxx
                  31 |  51 |   5, loadOut:0 --- inputRow: 8f90919294969797999a9c9d9d9ea0 ||0 outputRow: 9394959697999b9b
                  32 |   2 |   6, loadOut:0 --- inputRow: 90909293959798999b9b9c9d9fa0a1 ||0 outputRow: 9395969798999b9c
                  33 |   3 |   7, loadOut:0 --- inputRow: 90919294959798999b9b9c9e9fa0a1 ||0 outputRow: 94959697989a9c9d
                  34 |   4 |   8, loadOut:0 --- inputRow: 91929394969799999b9c9d9e9fa1a2 ||0 outputRow: 94969697999a9c9d
                  35 |   5 |   9, loadOut:0 --- inputRow: 92929495969899999c9c9d9fa0a1a2 ||0 outputRow: 959798999b9b9c9d
                  36 |   6 |  10, loadOut:0 --- inputRow: 939495969798999a9d9d9e9fa1a2a3 ||0 outputRow: 959798999b9b9c9e
                  37 |   7 |  11, loadOut:0 --- inputRow: 949595969899999a9d9e9fa0a1a3a4 ||0 outputRow: 969799999b9c9d9e
                  38 |   8 |  12, loadOut:0 --- inputRow: 9595969798999a9a9e9e9fa1a2a3a4 ||0 outputRow: 969898999c9b9d9f
                  39 |   9 |  13, loadOut:0 --- inputRow: 9596969798999a9a9e9fa0a1a2a3a4 ||0 outputRow: 9798999a9d9d9e9f
                  40 |  10 |  14, loadOut:1 --- inputRow: 969798999a9b9c9d9fa0a1a2a3a4a5 ||0 outputRow: 9899999a9d9e9fa0
                  40 |  11 |  15, loadOut:1 --- inputRow: 969798999a9b9c9d9fa0a1a2a3a4a5 ||0 outputRow: 9899999a9e9d9fa1
                  40 |  12 |  16, loadOut:1 --- inputRow: 969798999a9b9c9d9fa0a1a2a3a4a5 ||0 outputRow: 9899999a9e9d9fa1
                  40 |  13 |  17, loadOut:1 --- inputRow: 969798999a9b9c9d9fa0a1a2a3a4a5 ||0 outputRow: 9899999a9e9d9fa1
                  40 |  14 |  18, loadOut:1 --- inputRow: 969798999a9b9c9d9fa0a1a2a3a4a5 ||0 outputRow: 9899999a9e9d9fa1
                  40 |  15 |  19, loadOut:1 --- inputRow: 969798999a9b9c9d9fa0a1a2a3a4a5 ||0 outputRow: 9899999a9e9d9fa1
                  40 |  16 |  20, loadOut:0 --- inputRow: 969798999a9b9c9d9fa0a1a2a3a4a5 ||1 outputRow: 9d9d9c9d9c9b9b9a
                  40 |  17 |  21, loadOut:0 --- inputRow: 969798999a9b9c9d9fa0a1a2a3a4a5 ||1 outputRow: 9c9b9c9c9b9a9a99
                  40 |  18 |  22, loadOut:0 --- inputRow: 969798999a9b9c9d9fa0a1a2a3a4a5 ||1 outputRow: 9b9a9a9999989897
                  40 |  19 |  23, loadOut:0 --- inputRow: 969798999a9b9c9d9fa0a1a2a3a4a5 ||1 outputRow: 9a9b9a9898979696
                  40 |  20 |  24, loadOut:0 --- inputRow: 969798999a9b9c9d9fa0a1a2a3a4a5 ||1 outputRow: 9999989697969595
                  40 |  21 |  25, loadOut:0 --- inputRow: 969798999a9b9c9d9fa0a1a2a3a4a5 ||1 outputRow: 9897979696959494
                  40 |  22 |  26, loadOut:0 --- inputRow: 969798999a9b9c9d9fa0a1a2a3a4a5 ||1 outputRow: 9697969595949393
                  40 |  23 |  27, loadOut:0 --- inputRow: 969798999a9b9c9d9fa0a1a2a3a4a5 ||1 outputRow: 9594949393929291
                  40 |  24 |  28, loadOut:0 --- inputRow: 969798999a9b9c9d9fa0a1a2a3a4a5 ||1 outputRow: 9e9d9c9c9b9c9b9a
                  40 |  25 |  29, loadOut:0 --- inputRow: 969798999a9b9c9d9fa0a1a2a3a4a5 ||1 outputRow: 9c9c9b9a9b9b9a99
                  40 |  26 |  30, loadOut:0 --- inputRow: 969798999a9b9c9d9fa0a1a2a3a4a5 ||1 outputRow: 9c9b9a9b9a989897
                  40 |  27 |  31, loadOut:0 --- inputRow: 969798999a9b9c9d9fa0a1a2a3a4a5 ||1 outputRow: 9b9a999a99979796
                  40 |  28 |  32, loadOut:0 --- inputRow: 969798999a9b9c9d9fa0a1a2a3a4a5 ||1 outputRow: 9897989897959695
                  40 |  29 |  33, loadOut:0 --- inputRow: 969798999a9b9c9d9fa0a1a2a3a4a5 ||1 outputRow: 9899979796959594
                  40 |  30 |  34, loadOut:0 --- inputRow: 969798999a9b9c9d9fa0a1a2a3a4a5 ||1 outputRow: 9696959695949493
                  40 |  31 |  35, loadOut:0 --- inputRow: 969798999a9b9c9d9fa0a1a2a3a4a5 ||1 outputRow: 9595949393929291
                  40 |  32 |  36, loadOut:0 --- inputRow: 969798999a9b9c9d9fa0a1a2a3a4a5 ||1 outputRow: 9e9d9c9c9b9c9b9a
                  40 |  33 |  37, loadOut:0 --- inputRow: 969798999a9b9c9d9fa0a1a2a3a4a5 ||1 outputRow: 9c9c9b9a9a9a9a99
                  40 |  34 |  38, loadOut:0 --- inputRow: 969798999a9b9c9d9fa0a1a2a3a4a5 ||1 outputRow: 9c9b9a9b9a989897
                  40 |  35 |  39, loadOut:0 --- inputRow: 969798999a9b9c9d9fa0a1a2a3a4a5 ||1 outputRow: 9a99999a99969796
                  40 |  36 |  40, loadOut:0 --- inputRow: 969798999a9b9c9d9fa0a1a2a3a4a5 ||1 outputRow: 9898989797959695
                  40 |  37 |  41, loadOut:0 --- inputRow: 969798999a9b9c9d9fa0a1a2a3a4a5 ||1 outputRow: 9798979696959594
                  40 |  38 |  42, loadOut:0 --- inputRow: 969798999a9b9c9d9fa0a1a2a3a4a5 ||1 outputRow: 9696959596949392
                  40 |  39 |  43, loadOut:0 --- inputRow: 969798999a9b9c9d9fa0a1a2a3a4a5 ||1 outputRow: 9594949392919292
                  40 |  40 |  44, loadOut:0 --- inputRow: 969798999a9b9c9d9fa0a1a2a3a4a5 ||1 outputRow: 9f9e9d9d9c9d9c9b
                  40 |  41 |  45, loadOut:0 --- inputRow: 969798999a9b9c9d9fa0a1a2a3a4a5 ||1 outputRow: 9d9d9c9b9c9c9b9a
                  40 |  42 |  46, loadOut:0 --- inputRow: 969798999a9b9c9d9fa0a1a2a3a4a5 ||1 outputRow: 9c9b9b9a9a999998
                  40 |  43 |  47, loadOut:0 --- inputRow: 969798999a9b9c9d9fa0a1a2a3a4a5 ||1 outputRow: 9c9b9a9b9a989897
                  40 |  44 |  48, loadOut:0 --- inputRow: 969798999a9b9c9d9fa0a1a2a3a4a5 ||1 outputRow: 9998999998969796
                  40 |  45 |  49, loadOut:0 --- inputRow: 969798999a9b9c9d9fa0a1a2a3a4a5 ||1 outputRow: 9898989797959695
                  40 |  46 |  50, loadOut:0 --- inputRow: 969798999a9b9c9d9fa0a1a2a3a4a5 ||1 outputRow: 9797969796959594
                  40 |  47 |  51, loadOut:0 --- inputRow: 969798999a9b9c9d9fa0a1a2a3a4a5 ||1 outputRow: 9696959494939392
                  40 |  48 |   2, loadOut:0 --- inputRow: 969798999a9b9c9d9fa0a1a2a3a4a5 ||1 outputRow: 9899999a9e9d9fa1
                  41 |  49 |   3, loadOut:0 --- inputRow: 969798999a9c9d9d9fa0a1a2a3a5a6 ||1 outputRow: 9899999a9e9d9fa1
                  42 |  50 |   4, loadOut:0 --- inputRow: 9797989a9b9c9d9ea0a0a1a3a4a5a6 ||0 outputRow: 9899999a9e9fa0a1
                  43 |  51 |   5, loadOut:0 --- inputRow: 9798999a9c9d9e9ea0a1a2a3a5a6a7 ||0 outputRow: 9a9b9c9d9fa0a1a2
                  44 |   2 |   6, loadOut:0 --- inputRow: 98999a9b9c9e9f9fa1a2a3a4a5a7a8 ||0 outputRow: 9a9c9c9d9fa0a1a2
                  45 |   3 |   7, loadOut:0 --- inputRow: 99999a9c9d9e9fa0a2a2a3a5a6a7a8 ||0 outputRow: 9b9c9d9ea0a0a1a3
                  46 |   4 |   8, loadOut:0 --- inputRow: 999a9b9c9d9fa0a0a2a3a4a5a6a8a9 ||0 outputRow: 9c9d9d9ea0a1a2a3
                  47 |   5 |   9, loadOut:0 --- inputRow: 9a9a9b9c9e9fa0a0a3a3a4a5a7a8a9 ||0 outputRow: 9c9e9e9fa1a2a3a4
                  48 |   6 |  10, loadOut:0 --- inputRow: 9b9b9c9d9fa0a1a1a3a3a4a6a7a8a9 ||0 outputRow: 9d9e9fa0a2a2a3a5
                  49 |   7 |  11, loadOut:0 --- inputRow: 9b9b9c9e9fa0a1a2a3a4a5a6a7a8a9 ||0 outputRow: 9d9f9fa0a2a3a4a5
                  50 |   8 |  12, loadOut:0 --- inputRow: 9b9c9d9e9fa1a2a2a4a4a5a6a8a9aa ||0 outputRow: 9e9f9fa0a3a3a4a5
                  51 |   9 |  13, loadOut:0 --- inputRow: 9c9c9d9fa0a1a2a3a4a5a6a7a8aaab ||0 outputRow: 9fa0a0a1a3a3a4a6
                  52 |  10 |  14, loadOut:1 --- inputRow: 9d9d9e9fa1a2a3a4a5a5a6a8a9aaab ||0 outputRow: 9fa0a1a2a3a4a5a6
                  52 |  11 |  15, loadOut:1 --- inputRow: 9d9d9e9fa1a2a3a4a5a5a6a8a9aaab ||0 outputRow: 9fa1a1a2a4a4a5a6
                  52 |  12 |  16, loadOut:1 --- inputRow: 9d9d9e9fa1a2a3a4a5a5a6a8a9aaab ||0 outputRow: 9fa1a1a2a4a4a5a6
                  52 |  13 |  17, loadOut:1 --- inputRow: 9d9d9e9fa1a2a3a4a5a5a6a8a9aaab ||0 outputRow: 9fa1a1a2a4a4a5a6
                  52 |  14 |  18, loadOut:1 --- inputRow: 9d9d9e9fa1a2a3a4a5a5a6a8a9aaab ||0 outputRow: 9fa1a1a2a4a4a5a6
                  52 |  15 |  19, loadOut:1 --- inputRow: 9d9d9e9fa1a2a3a4a5a5a6a8a9aaab ||0 outputRow: 9fa1a1a2a4a4a5a6
                  52 |  16 |  20, loadOut:0 --- inputRow: 9d9d9e9fa1a2a3a4a5a5a6a8a9aaab ||1 outputRow: a5a4a3a3a2a1a1a0
                  52 |  17 |  21, loadOut:0 --- inputRow: 9d9d9e9fa1a2a3a4a5a5a6a8a9aaab ||1 outputRow: a3a2a2a1a0a1a09f
                  52 |  18 |  22, loadOut:0 --- inputRow: 9d9d9e9fa1a2a3a4a5a5a6a8a9aaab ||1 outputRow: a2a1a1a09fa09f9e
                  52 |  19 |  23, loadOut:0 --- inputRow: 9d9d9e9fa1a2a3a4a5a5a6a8a9aaab ||1 outputRow: a1a1a0a09f9e9e9d
                  52 |  20 |  24, loadOut:0 --- inputRow: 9d9d9e9fa1a2a3a4a5a5a6a8a9aaab ||1 outputRow: a09f9e9e9d9d9c99
                  52 |  21 |  25, loadOut:0 --- inputRow: 9d9d9e9fa1a2a3a4a5a5a6a8a9aaab ||1 outputRow: 9f9e9e9d9c9c9b99
                  52 |  22 |  26, loadOut:0 --- inputRow: 9d9d9e9fa1a2a3a4a5a5a6a8a9aaab ||1 outputRow: 9e9d9d9c9b9b9a98
                  52 |  23 |  27, loadOut:0 --- inputRow: 9d9d9e9fa1a2a3a4a5a5a6a8a9aaab ||1 outputRow: 9d9c9b9b9a9a9997
                  52 |  24 |  28, loadOut:0 --- inputRow: 9d9d9e9fa1a2a3a4a5a5a6a8a9aaab ||1 outputRow: a4a3a4a3a2a2a1a0
                  52 |  25 |  29, loadOut:0 --- inputRow: 9d9d9e9fa1a2a3a4a5a5a6a8a9aaab ||1 outputRow: a2a3a2a1a1a09fa0
                  52 |  26 |  30, loadOut:0 --- inputRow: 9d9d9e9fa1a2a3a4a5a5a6a8a9aaab ||1 outputRow: a3a2a1a1a0a09f9e
                  52 |  27 |  31, loadOut:0 --- inputRow: 9d9d9e9fa1a2a3a4a5a5a6a8a9aaab ||1 outputRow: a2a1a0a09f9f9e9d
                  52 |  28 |  32, loadOut:0 --- inputRow: 9d9d9e9fa1a2a3a4a5a5a6a8a9aaab ||1 outputRow: 9f9e9f9e9d9d9c9c
                  52 |  29 |  33, loadOut:0 --- inputRow: 9d9d9e9fa1a2a3a4a5a5a6a8a9aaab ||1 outputRow: 9f9e9e9d9d9c9b9b
                  52 |  30 |  34, loadOut:0 --- inputRow: 9d9d9e9fa1a2a3a4a5a5a6a8a9aaab ||1 outputRow: 9e9d9d9c9c9b9a9a
                  52 |  31 |  35, loadOut:0 --- inputRow: 9d9d9e9fa1a2a3a4a5a5a6a8a9aaab ||1 outputRow: 9d9c9c9b9a9a9999
                  52 |  32 |  36, loadOut:0 --- inputRow: 9d9d9e9fa1a2a3a4a5a5a6a8a9aaab ||1 outputRow: a4a3a4a3a2a2a1a0
                  52 |  33 |  37, loadOut:0 --- inputRow: 9d9d9e9fa1a2a3a4a5a5a6a8a9aaab ||1 outputRow: a2a3a2a1a1a09fa0
                  52 |  34 |  38, loadOut:0 --- inputRow: 9d9d9e9fa1a2a3a4a5a5a6a8a9aaab ||1 outputRow: a3a2a1a1a0a09f9e
                  52 |  35 |  39, loadOut:0 --- inputRow: 9d9d9e9fa1a2a3a4a5a5a6a8a9aaab ||1 outputRow: a1a0a0a09e9e9e9d
                  52 |  36 |  40, loadOut:0 --- inputRow: 9d9d9e9fa1a2a3a4a5a5a6a8a9aaab ||1 outputRow: 9f9e9f9e9d9d9c9c
                  52 |  37 |  41, loadOut:0 --- inputRow: 9d9d9e9fa1a2a3a4a5a5a6a8a9aaab ||1 outputRow: 9f9e9e9d9d9c9b9b
                  52 |  38 |  42, loadOut:0 --- inputRow: 9d9d9e9fa1a2a3a4a5a5a6a8a9aaab ||1 outputRow: 9e9d9d9c9b9b9a9a
